district,crime_count_2020,crime_count_2021,crime_count_2022,share_pct_2022,projected_pop_lakhs,rate_cognizable_crime_2022,district_standardized,is_total_row
Ariyalur,12129.0,8752.0,4326,0.9,8.0,539.0,Ariyalur,False
Chennai,168450.0,115247.0,39138,8.3,60.4,648.3,Chennai,False
Coimbatore,33399.0,22300.0,15039,3.2,25.6,587.6,Coimbatore,False
Coimbatore City,24044.0,13963.0,9250,2.0,11.2,828.0,Coimbatore City,False
Cuddalore,53052.0,32623.0,26361,5.6,27.7,951.4,Cuddalore,False
Dharmapuri,29478.0,12530.0,9110,1.9,16.0,568.6,Dharmapuri,False
Dindigul,44219.0,22610.0,11470,2.4,23.0,499.5,Dindigul,False
Erode,22377.0,11670.0,10450,2.2,23.9,436.5,Erode,False
Kanchipuram,23308.0,12325.0,4786,1.0,9.7,495.0,Kanchipuram,False
Kanyakumari,17373.0,14271.0,9110,1.9,19.9,458.1,Kanyakumari,False
Karur,12051.0,11934.0,7035,1.5,11.3,621.6,Karur,False
Krishnagiri,25774.0,11727.0,9979,2.1,20.0,499.3,Krishnagiri,False
Madurai,61106.0,13381.0,10598,2.2,21.5,493.4,Madurai,False
Madurai City,33006.0,16910.0,12289,2.6,10.8,1135.6,Madurai City,False
Nagapattinam,31557.0,28018.0,13585,2.9,17.2,790.5,Nagapattinam,False
Namakkal,24183.0,18287.0,7877,1.7,18.4,429.1,Namakkal,False
Nilgiris,11940.0,3336.0,2862,0.6,7.8,366.0,Nilgiris,False
Perambalur,11674.0,6391.0,3495,0.7,6.0,581.6,Perambalur,False
Pudukottai,21402.0,17327.0,10713,2.3,17.2,622.6,Pudukkottai,False
Ramnathapuram,15878.0,15205.0,10391,2.2,14.4,722.1,Ramanathapuram,False
Railway Chennai,1263.0,1291.0,2266,0.5,0.0,0.0,Railway Chennai,False
Railway Trichy,157.0,204.0,1179,0.2,0.0,0.0,Railway Trichy,False
Salem,22472.0,15880.0,13620,2.9,28.2,482.9,Salem,False
Salem City,17658.0,10609.0,7901,1.7,8.8,896.1,Salem City,False
Sivagangai,14350.0,11486.0,7630,1.6,14.2,535.9,Sivagangai,False
Thanjavur,54194.0,38733.0,21106,4.5,25.6,825.1,Thanjavur,False
Theni,38869.0,17254.0,10242,2.2,13.2,773.2,Theni,False
Thirunelveli,13978.0,11884.0,7420,1.6,12.5,592.7,Tirunelveli,False
Thirunelveli City,9672.0,4311.0,3307,0.7,5.0,656.7,Tirunelveli City,False
Thiruvallur,59795.0,17391.0,6801,1.4,25.1,270.8,Tiruvallur,False
Thiruvannamalai,93914.0,29437.0,13937,2.9,26.2,531.8,Tiruvannamalai,False
Thiruvarur,44080.0,16597.0,9222,1.9,13.4,686.1,Tiruvarur,False
Thoothukudi,20131.0,16898.0,12444,2.6,18.6,668.7,Thoothukudi,False
Tiruppur,34050.0,20901.0,10795,2.3,21.6,499.0,Tiruppur,False
Tiruppur City,12432.0,14699.0,6375,1.3,4.7,1349.4,Tiruppur City,False
Trichy,32903.0,16033.0,9565,2.0,19.9,479.8,Trichy,False
Trichy City,14127.0,12730.0,17954,3.8,9.0,1992.8,Trichy City,False
Vellore,26065.0,9145.0,6706,1.4,16.5,405.3,Vellore,False
Villupuram,52606.0,15501.0,11790,2.5,22.0,536.8,Villupuram,False
Virudhunagar,24029.0,12976.0,11266,2.4,20.7,545.6,Virudhunagar,False
Cyber Cell,6.0,14.0,3,0.0,0.0,0.0,Cyber Cell,False
Other Units,620.0,517.0,515,0.1,0.0,0.0,Other Units,False
Chengalpattu,46737.0,14855.0,7754,1.6,24.2,319.9,Chengalpattu,False
Kallakurichi,29269.0,12436.0,6582,1.4,14.8,444.3,Kallakurichi,False
Ranipet,10340.0,7763.0,5956,1.3,12.8,467.0,Ranipet,False
Tiruppattur,16034.0,7844.0,4880,1.0,12.6,388.8,Tiruppattur,False
Tenkasi,11530.0,10557.0,7870,1.7,15.2,519.1,Tenkasi,False
Avadi,,,10271,2.2,4.2,2450.0,Avadi,False
Tambaram,,,10235,2.2,8.0,1284.0,Tambaram,False
TOTAL DISTRICT(S),1377681.0,756753.0,473456,100.0,767.1,617.2,TOTAL DISTRICT(S),True
